日期,區域,產品線,銷售額(TWD),達成率(%),客戶滿意度
2025-10-01,高雄辦事處,企業大腦標準版,240917,108.04,4.4
2025-10-02,台北總部,企業大腦標準版,82676,80.26,4.0
2025-10-03,台中分公司,企業大腦進階版,96643,97.79,3.8
2025-10-04,高雄辦事處,數據清洗模組,52142,97.35,4.6
2025-10-05,新加坡亞太中心,數據清洗模組,281234,101.05,4.4
2025-10-06,高雄辦事處,企業大腦標準版,197822,91.46,4.0
2025-10-07,台北總部,企業大腦標準版,437641,105.66,4.0
2025-10-08,台中分公司,企業大腦標準版,81418,116.38,4.6
2025-10-09,台北總部,數據清洗模組,234642,99.37,4.2
2025-10-10,台中分公司,數據清洗模組,401217,105.37,4.6
2025-10-11,台中分公司,企業大腦進階版,335980,93.62,3.8
2025-10-12,新加坡亞太中心,AI顧問服務,455029,95.74,3.5
2025-10-13,台北總部,AI顧問服務,70001,105.74,3.8
2025-10-14,高雄辦事處,企業大腦進階版,163498,95.38,3.7
2025-10-15,新加坡亞太中心,AI顧問服務,259527,113.38,4.0
2025-10-16,新加坡亞太中心,企業大腦進階版,480495,93.27,4.4
2025-10-17,台北總部,數據清洗模組,445903,114.13,4.6
2025-10-18,台中分公司,數據清洗模組,62610,88.35,4.6
2025-10-19,新加坡亞太中心,企業大腦進階版,86401,80.36,3.9
2025-10-20,台北總部,企業大腦進階版,195397,111.66,4.6
2025-10-21,高雄辦事處,企業大腦標準版,443628,90.97,4.9
2025-10-22,台北總部,企業大腦標準版,481465,83.17,4.2
2025-10-23,台中分公司,AI顧問服務,414679,103.6,3.7
2025-10-24,高雄辦事處,數據清洗模組,82856,109.07,4.0
2025-10-25,台北總部,AI顧問服務,225365,91.51,4.4
2025-10-26,台中分公司,企業大腦進階版,235251,118.97,3.9
2025-10-27,新加坡亞太中心,AI顧問服務,358930,99.22,4.1
2025-10-28,新加坡亞太中心,企業大腦標準版,239360,83.31,3.9
2025-10-29,台中分公司,AI顧問服務,71399,114.77,3.7
2025-10-30,台北總部,企業大腦標準版,398588,99.46,3.8
2025-10-31,高雄辦事處,AI顧問服務,311241,92.7,4.3
2025-11-01,台北總部,數據清洗模組,354104,86.71,4.4
2025-11-02,台北總部,企業大腦標準版,97130,92.34,4.0
2025-11-03,高雄辦事處,數據清洗模組,362152,119.86,4.7
2025-11-04,新加坡亞太中心,數據清洗模組,151781,96.33,3.9
2025-11-05,新加坡亞太中心,企業大腦標準版,455850,101.18,4.3
2025-11-06,高雄辦事處,企業大腦進階版,329149,112.05,4.2
2025-11-07,台中分公司,數據清洗模組,345407,108.53,3.5
2025-11-08,高雄辦事處,數據清洗模組,331844,107.54,4.1
2025-11-09,台中分公司,企業大腦標準版,75076,96.44,4.0
